"configuration","dist","selections","successes","failures","resets","success_rate","failure_rate","reset_rate"
"1_edca_9","Dist0","10","8","41","2","0.8","4.1","0.2"
"1_edca_9","Dist1","10","8","41","2","0.8","4.1","0.2"
"10_edca_10","Dist0","37","15","86","22","0.405405405405405","2.32432432432432","0.594594594594595"
"10_edca_10","Dist1","46","12","91","11","0.260869565217391","1.97826086956522","0.239130434782609"
"2_edca_18","Dist0","21","18","133","3","0.857142857142857","6.33333333333333","0.142857142857143"
"2_edca_18","Dist1","27","18","130","0","0.666666666666667","4.81481481481481","0"
"3_edca_27","Dist0","55","36","324","16","0.654545454545455","5.89090909090909","0.290909090909091"
"3_edca_27","Dist1","56","31","288","5","0.553571428571429","5.14285714285714","0.0892857142857143"
"3_edca_7","Dist0","10","6","25","4","0.6","2.5","0.4"
"3_edca_7","Dist1","15","7","31","4","0.466666666666667","2.06666666666667","0.266666666666667"
"5_edca_5","Dist0","12","6","21","6","0.5","1.75","0.5"
"5_edca_5","Dist1","22","6","24","4","0.272727272727273","1.09090909090909","0.181818181818182"
"6_edca_14","Dist0","25","16","87","9","0.64","3.48","0.36"
"6_edca_14","Dist1","34","15","82","4","0.441176470588235","2.41176470588235","0.117647058823529"
